u,b,h,d,P
70,0,1,3,0.078717
70,0,2,3,0.078717
70,0,3,3,0.078717
70,0,1,4,0.033736
70,0,2,4,0.033736
70,0,3,4,0.033736
70,0,4,4,0.033736
70,1,1,1,0.428571
70,1,1,2,0.183673
70,1,2,2,0.183673
70,1,1,3,0.078717
70,1,2,3,0.078717
70,1,3,3,0.078717
70,1,1,4,0.033736
70,1,2,4,0.033736
70,1,3,4,0.033736
70,1,4,4,0.033736
70,2,1,1,0.428571
70,2,1,2,0.183673
70,2,2,2,0.183673
70,2,1,3,0.078717
70,2,2,3,0.078717
70,2,3,3,0.078717
70,2,1,4,0.033736
70,2,2,4,0.033736
70,2,3,4,0.033736
70,2,4,4,0.033736
70,3,1,1,0.428571
70,3,1,2,0.183673
70,3,2,2,0.183673
70,3,1,3,0.078717
70,3,2,3,0.078717
70,3,3,3,0.078717
70,3,1,4,0.033736
70,3,2,4,0.033736
70,3,3,4,0.033736
70,3,4,4,0.033736
71,0,1,1,0.428571
71,0,1,2,0.183673
71,0,2,2,0.183673
71,0,1,3,0.078717
71,0,2,3,0.078717
71,0,3,3,0.078717
71,0,1,4,0.033736
71,0,2,4,0.033736
71,0,3,4,0.033736
71,0,4,4,0.033736
71,1,1,1,0.428571
71,1,1,2,0.183673
71,1,2,2,0.183673
71,1,1,3,0.078717
71,1,2,3,0.078717
71,1,3,3,0.078717
71,1,1,4,0.033736
71,1,2,4,0.033736
71,1,3,4,0.033736
71,1,4,4,0.033736
71,2,1,1,0.428571
71,2,1,2,0.183673
71,2,2,2,0.183673
71,2,1,3,0.078717
71,2,2,3,0.078717
71,2,3,3,0.078717
71,2,1,4,0.033736
71,2,2,4,0.033736
71,2,3,4,0.033736
71,2,4,4,0.033736
71,3,1,1,0.428571
71,3,1,2,0.183673
71,3,2,2,0.183673
71,3,1,3,0.078717
71,3,2,3,0.078717
71,3,3,3,0.078717
71,3,1,4,0.033736
71,3,2,4,0.033736
71,3,3,4,0.033736
71,3,4,4,0.033736
72,0,1,1,0.428571
72,0,1,2,0.183673
72,0,2,2,0.183673
72,0,1,3,0.078717
72,0,2,3,0.078717
72,0,3,3,0.078717
72,0,1,4,0.033736
72,0,2,4,0.033736
72,0,3,4,0.033736
72,0,4,4,0.033736
72,1,1,1,0.428571
72,1,1,2,0.183673
72,1,2,2,0.183673
72,1,1,3,0.078717
72,1,2,3,0.078717
72,1,3,3,0.078717
72,1,1,4,0.033736
72,1,2,4,0.033736
72,1,3,4,0.033736
72,1,4,4,0.033736
72,2,1,1,0.428571
72,2,1,2,0.183673
72,2,2,2,0.183673
72,2,1,3,0.078717
72,2,2,3,0.078717
72,2,3,3,0.078717
72,2,1,4,0.033736
72,2,2,4,0.033736
72,2,3,4,0.033736
72,2,4,4,0.033736
72,3,1,1,0.428571
72,3,1,2,0.183673
72,3,2,2,0.183673
72,3,1,3,0.078717
72,3,2,3,0.078717
72,3,3,3,0.078717
72,3,1,4,0.033736
72,3,2,4,0.033736
72,3,3,4,0.033736
72,3,4,4,0.033736
73,0,1,1,0.428571
73,0,1,2,0.183673
73,0,2,2,0.183673
73,0,1,3,0.078717
73,0,2,3,0.078717
73,0,3,3,0.078717
73,0,1,4,0.033736
73,0,2,4,0.033736
73,0,3,4,0.033736
73,0,4,4,0.033736
73,1,1,1,0.428571
73,1,1,2,0.183673
73,1,2,2,0.183673
73,1,1,3,0.078717
73,1,2,3,0.078717
73,1,3,3,0.078717
73,1,1,4,0.033736
73,1,2,4,0.033736
73,1,3,4,0.033736
73,1,4,4,0.033736
73,2,1,1,0.428571
73,2,1,2,0.183673
73,2,2,2,0.183673
73,2,1,3,0.078717
73,2,2,3,0.078717
73,2,3,3,0.078717
73,2,1,4,0.033736
73,2,2,4,0.033736
73,2,3,4,0.033736
73,2,4,4,0.033736
73,3,1,1,0.428571
73,3,1,2,0.183673
73,3,2,2,0.183673
73,3,1,3,0.078717
73,3,2,3,0.078717
73,3,3,3,0.078717
73,3,1,4,0.033736
73,3,2,4,0.033736
73,3,3,4,0.033736
73,3,4,4,0.033736
74,0,1,1,0.428571
74,0,1,2,0.183673
74,0,2,2,0.183673
74,0,1,3,0.078717
74,0,2,3,0.078717
74,0,3,3,0.078717
74,0,1,4,0.033736
74,0,2,4,0.033736
74,0,3,4,0.033736
74,0,4,4,0.033736
74,1,1,1,0.428571
74,1,1,2,0.183673
74,1,2,2,0.183673
74,1,1,3,0.078717
74,1,2,3,0.078717
74,1,3,3,0.078717
74,1,1,4,0.033736
74,1,2,4,0.033736
74,1,3,4,0.033736
74,1,4,4,0.033736
74,2,1,1,0.428571
74,2,1,2,0.183673
74,2,2,2,0.183673
74,2,1,3,0.078717
74,2,2,3,0.078717
74,2,3,3,0.078717
74,2,1,4,0.033736
74,2,2,4,0.033736
74,2,3,4,0.033736
74,2,4,4,0.033736
74,3,1,1,0.428571
74,3,1,2,0.183673
74,3,2,2,0.183673
74,3,1,3,0.078717
74,3,2,3,0.078717
74,3,3,3,0.078717
74,3,1,4,0.033736
74,3,2,4,0.033736
74,3,3,4,0.033736
74,3,4,4,0.033736
75,0,1,1,0.428571
75,0,1,2,0.183673
75,0,2,2,0.183673
75,0,1,3,0.078717
75,0,2,3,0.078717
75,0,3,3,0.078717
75,0,1,4,0.033736
75,0,2,4,0.033736
75,0,3,4,0.033736
75,0,4,4,0.033736
75,1,1,1,0.428571
75,1,1,2,0.183673
75,1,2,2,0.183673
75,1,1,3,0.078717
75,1,2,3,0.078717
75,1,3,3,0.078717
75,1,1,4,0.033736
75,1,2,4,0.033736
75,1,3,4,0.033736
75,1,4,4,0.033736
75,2,1,1,0.428571
75,2,1,2,0.183673
75,2,2,2,0.183673
75,2,1,3,0.078717
75,2,2,3,0.078717
75,2,3,3,0.078717
75,2,1,4,0.033736
75,2,2,4,0.033736
75,2,3,4,0.033736
75,2,4,4,0.033736
75,3,1,1,0.428571
75,3,1,2,0.183673
75,3,2,2,0.183673
75,3,1,3,0.078717
75,3,2,3,0.078717
75,3,3,3,0.078717
75,3,1,4,0.033736
75,3,2,4,0.033736
75,3,3,4,0.033736
75,3,4,4,0.033736
76,0,1,1,0.428571
76,0,1,2,0.183673
76,0,2,2,0.183673
76,0,1,3,0.078717
76,0,2,3,0.078717
76,0,3,3,0.078717
76,0,1,4,0.033736
76,0,2,4,0.033736
76,0,3,4,0.033736
76,0,4,4,0.033736
76,1,1,1,0.428571
76,1,1,2,0.183673
76,1,2,2,0.183673
76,1,1,3,0.078717
76,1,2,3,0.078717
76,1,3,3,0.078717
76,1,1,4,0.033736
76,1,2,4,0.033736
76,1,3,4,0.033736
76,1,4,4,0.033736
76,2,1,1,0.428571
76,2,1,2,0.183673
76,2,2,2,0.183673
76,2,1,3,0.078717
76,2,2,3,0.078717
76,2,3,3,0.078717
76,2,1,4,0.033736
76,2,2,4,0.033736
76,2,3,4,0.033736
76,2,4,4,0.033736
76,3,1,1,0.428571
76,3,1,2,0.183673
76,3,2,2,0.183673
76,3,1,3,0.078717
76,3,2,3,0.078717
76,3,3,3,0.078717
76,3,1,4,0.033736
76,3,2,4,0.033736
76,3,3,4,0.033736
76,3,4,4,0.033736
77,0,1,1,0.428571
77,0,1,2,0.183673
77,0,2,2,0.183673
77,0,1,3,0.078717
77,0,2,3,0.078717
77,0,3,3,0.078717
77,0,1,4,0.033736
77,0,2,4,0.033736
77,0,3,4,0.033736
77,0,4,4,0.033736
77,1,1,1,0.428571
77,1,1,2,0.183673
77,1,2,2,0.183673
77,1,1,3,0.078717
77,1,2,3,0.078717
77,1,3,3,0.078717
77,1,1,4,0.033736
77,1,2,4,0.033736
77,1,3,4,0.033736
77,1,4,4,0.033736
77,2,1,1,0.428571
77,2,1,2,0.183673
77,2,2,2,0.183673
77,2,1,3,0.078717
77,2,2,3,0.078717
77,2,3,3,0.078717
77,2,1,4,0.033736
77,2,2,4,0.033736
77,2,3,4,0.033736
77,2,4,4,0.033736
77,3,1,1,0.428571
77,3,1,2,0.183673
77,3,2,2,0.183673
77,3,1,3,0.078717
77,3,2,3,0.078717
77,3,3,3,0.078717
77,3,1,4,0.033736
77,3,2,4,0.033736
77,3,3,4,0.033736
77,3,4,4,0.033736
78,0,1,1,0.428571
78,0,1,2,0.183673
78,0,2,2,0.183673
78,0,1,3,0.078717
78,0,2,3,0.078717
78,0,3,3,0.078717
78,0,1,4,0.033736
78,0,2,4,0.033736
78,0,3,4,0.033736
78,0,4,4,0.033736
78,1,1,1,0.428571
78,1,1,2,0.183673
78,1,2,2,0.183673
78,1,1,3,0.078717
78,1,2,3,0.078717
78,1,3,3,0.078717
78,1,1,4,0.033736
78,1,2,4,0.033736
78,1,3,4,0.033736
78,1,4,4,0.033736
78,2,1,1,0.428571
78,2,1,2,0.183673
78,2,2,2,0.183673
78,2,1,3,0.078717
78,2,2,3,0.078717
78,2,3,3,0.078717
78,2,1,4,0.033736
78,2,2,4,0.033736
78,2,3,4,0.033736
78,2,4,4,0.033736
78,3,1,1,0.428571
78,3,1,2,0.183673
78,3,2,2,0.183673
78,3,1,3,0.078717
78,3,2,3,0.078717
78,3,3,3,0.078717
78,3,1,4,0.033736
78,3,2,4,0.033736
78,3,3,4,0.033736
78,3,4,4,0.033736
79,0,1,1,0.428571
79,0,1,2,0.183673
79,0,2,2,0.183673
79,0,1,3,0.078717
79,0,2,3,0.078717
79,0,3,3,0.078717
79,0,1,4,0.033736
79,0,2,4,0.033736
79,0,3,4,0.033736
79,0,4,4,0.033736
79,1,1,1,0.428571
79,1,1,2,0.183673
79,1,2,2,0.183673
79,1,1,3,0.078717
79,1,2,3,0.078717
79,1,3,3,0.078717
79,1,1,4,0.033736
79,1,2,4,0.033736
79,1,3,4,0.033736
79,1,4,4,0.033736
79,2,1,1,0.428571
79,2,1,2,0.183673
79,2,2,2,0.183673
79,2,1,3,0.078717
79,2,2,3,0.078717
79,2,3,3,0.078717
79,2,1,4,0.033736
79,2,2,4,0.033736
79,2,3,4,0.033736
79,2,4,4,0.033736
79,3,1,1,0.428571
79,3,1,2,0.183673
79,3,2,2,0.183673
79,3,1,3,0.078717
79,3,2,3,0.078717
79,3,3,3,0.078717
79,3,1,4,0.033736
79,3,2,4,0.033736
79,3,3,4,0.033736
79,3,4,4,0.033736
80,0,1,1,0.428571
80,0,1,2,0.183673
80,0,2,2,0.183673
80,0,1,3,0.078717
80,0,2,3,0.078717
80,0,3,3,0.078717
80,0,1,4,0.033736
80,0,2,4,0.033736
80,0,3,4,0.033736
80,0,4,4,0.033736
80,1,1,1,0.428571
80,1,1,2,0.183673
80,1,2,2,0.183673
80,1,1,3,0.078717
80,1,2,3,0.078717
80,1,3,3,0.078717
80,1,1,4,0.033736
80,1,2,4,0.033736
80,1,3,4,0.033736
80,1,4,4,0.033736
80,2,1,1,0.428571
80,2,1,2,0.183673
80,2,2,2,0.183673
80,2,1,3,0.078717
80,2,2,3,0.078717
80,2,3,3,0.078717
80,2,1,4,0.033736
80,2,2,4,0.033736
80,2,3,4,0.033736
80,2,4,4,0.033736
80,3,1,1,0.428571
80,3,1,2,0.183673
80,3,2,2,0.183673
80,3,1,3,0.078717
80,3,2,3,0.078717
80,3,3,3,0.078717
80,3,1,4,0.033736
80,3,2,4,0.033736
80,3,3,4,0.033736
80,3,4,4,0.033736
